Frequency (Hz)	Level (dB)
0.488281	-79.043564
0.976562	-78.621635
1.464844	-77.662338
1.953125	-76.773170
2.441406	-75.571365
2.929688	-74.484100
3.417969	-73.230049
3.906250	-72.132118
4.394531	-71.140015
4.882812	-69.970734
5.371094	-69.262527
5.859375	-68.133804
6.347656	-67.205719
6.835938	-66.416115
7.324219	-65.505646
7.812500	-64.767487
8.300781	-64.129601
8.789062	-63.782860
9.277344	-62.820827
9.765625	-61.880287
10.253906	-61.826614
10.742188	-61.286331
11.230469	-60.917057
11.718750	-60.382824
12.207031	-59.676575
12.695312	-59.227676
13.183594	-58.556583
13.671875	-58.584301
14.160156	-58.620472
14.648438	-58.292938
15.136719	-57.559319
15.625000	-57.624619
16.113281	-57.147514
16.601562	-57.096321
17.089844	-55.875969
17.578125	-55.897400
18.066406	-56.140778
18.554688	-55.455070
19.042969	-55.442448
19.531250	-55.296711
20.019531	-54.725128
20.507812	-54.732254
20.996094	-54.106441
21.484375	-54.322605
21.972656	-53.580074
22.460938	-53.157124
22.949219	-53.858067
23.437500	-53.680752
23.925781	-52.966511
24.414062	-53.269325
24.902344	-53.541000
25.390625	-52.751892
25.878906	-52.424328
26.367188	-52.913662
26.855469	-53.900730
27.343750	-53.062691
27.832031	-51.377392
28.320312	-53.027466
28.808594	-52.589226
29.296875	-52.239529
29.785156	-52.113487
30.273438	-52.348663
30.761719	-51.973358
31.250000	-51.181553
31.738281	-51.796246
32.226562	-51.309002
32.714844	-51.002831
33.203125	-51.439606
33.691406	-52.063419
34.179688	-51.072540
34.667969	-50.877995
35.156250	-50.079704
35.644531	-51.944031
36.132812	-51.618526
36.621094	-50.918037
37.109375	-50.567524
37.597656	-50.592133
38.085938	-50.441174
38.574219	-52.526394
39.062500	-51.316776
39.550781	-51.958210
40.039062	-50.744217
40.527344	-51.535721
41.015625	-50.996990
41.503906	-50.287434
41.992188	-50.731846
42.480469	-50.092079
42.968750	-52.449158
43.457031	-50.089512
43.945312	-48.996651
44.433594	-50.009960
44.921875	-51.098915
45.410156	-50.649555
45.898438	-51.352715
46.386719	-51.011108
46.875000	-50.247375
47.363281	-50.874794
47.851562	-51.308338
48.339844	-51.857460
48.828125	-51.185013
49.316406	-48.627640
49.804688	-51.021809
50.292969	-51.165051
50.781250	-52.049820
51.269531	-52.183334
51.757812	-49.755478
52.246094	-49.488285
52.734375	-50.734093
53.222656	-51.131046
53.710938	-50.674335
54.199219	-51.996597
54.687500	-51.315678
55.175781	-50.890381
55.664062	-50.823982
56.152344	-51.167530
56.640625	-49.772419
57.128906	-51.822086
57.617188	-51.347385
58.105469	-51.417557
58.593750	-51.099007
59.082031	-51.909172
59.570312	-51.811970
60.058594	-50.156677
60.546875	-51.005634
61.035156	-50.700340
61.523438	-51.854137
62.011719	-51.610924
62.500000	-52.276680
62.988281	-50.855820
63.476562	-52.061245
63.964844	-51.037678
64.453125	-50.761574
64.941406	-52.286064
65.429688	-54.608593
65.917969	-51.631493
66.406250	-53.017937
66.894531	-51.921898
67.382812	-52.952068
67.871094	-52.608391
68.359375	-50.388901
68.847656	-51.660011
69.335938	-53.290405
69.824219	-52.529129
70.312500	-51.728081
70.800781	-52.192261
71.289062	-53.583744
71.777344	-50.827793
72.265625	-54.832462
72.753906	-52.128979
73.242188	-53.858421
73.730469	-50.461079
74.218750	-51.408321
74.707031	-49.645817
75.195312	-53.414482
75.683594	-52.867432
76.171875	-54.572903
76.660156	-51.499203
77.148438	-55.740799
77.636719	-55.255211
78.125000	-52.551907
78.613281	-54.364754
79.101562	-53.152889
79.589844	-52.858868
80.078125	-53.813118
80.566406	-55.182121
81.054688	-53.450470
81.542969	-52.160362
82.031250	-52.981205
82.519531	-50.661945
83.007812	-52.533123
83.496094	-53.695057
83.984375	-55.620808
84.472656	-55.898434
84.960938	-54.732254
85.449219	-55.673065
85.937500	-54.608814
86.425781	-53.866714
86.914062	-51.019012
87.402344	-55.109863
87.890625	-54.006947
88.378906	-52.657425
88.867188	-55.750084
89.355469	-55.006454
89.843750	-53.106331
90.332031	-52.376560
90.820312	-55.855812
91.308594	-55.703915
91.796875	-52.612755
92.285156	-52.993240
92.773438	-54.397778
93.261719	-53.984642
93.750000	-55.901127
94.238281	-54.403763
94.726562	-53.562305
95.214844	-55.335644
95.703125	-54.913429
96.191406	-55.627884
96.679688	-55.459980
97.167969	-55.799717
97.656250	-55.923668
98.144531	-56.594250
98.632812	-57.300030
99.121094	-56.898594
99.609375	-52.553905
100.097656	-58.472469
100.585938	-55.459087
101.074219	-56.910053
101.562500	-56.528965
102.050781	-56.865154
102.539062	-57.852673
103.027344	-55.223457
103.515625	-55.791096
104.003906	-56.519779
104.492188	-54.024559
104.980469	-55.532963
105.468750	-53.959820
105.957031	-56.351215
106.445312	-57.764542
106.933594	-57.054836
107.421875	-55.546394
107.910156	-55.194382
108.398438	-55.276794
108.886719	-58.538395
109.375000	-54.868752
109.863281	-56.753567
110.351562	-56.933338
110.839844	-56.724449
111.328125	-57.726894
111.816406	-54.970932
112.304688	-57.085934
112.792969	-55.978813
113.281250	-56.229977
113.769531	-55.975491
114.257812	-57.704620
114.746094	-57.155628
115.234375	-56.046383
115.722656	-56.597412
116.210938	-58.528416
116.699219	-56.623161
117.187500	-57.820301
117.675781	-56.136055
118.164062	-58.014881
118.652344	-57.628288
119.140625	-57.438419
119.628906	-56.188858
120.117188	-55.688049
120.605469	-58.799805
121.093750	-58.057301
121.582031	-57.633362
122.070312	-58.694420
122.558594	-58.565300
123.046875	-56.524708
123.535156	-58.566227
124.023438	-57.178303
124.511719	-57.867271
125.000000	-56.817184
125.488281	-57.142853
125.976562	-57.450878
126.464844	-57.820183
126.953125	-57.290810
127.441406	-54.801762
127.929688	-55.282711
128.417969	-57.826023
128.906250	-56.598949
129.394531	-57.636520
129.882812	-58.116592
130.371094	-58.516571
130.859375	-58.349476
131.347656	-57.907463
131.835938	-60.276512
132.324219	-54.646133
132.812500	-56.429218
133.300781	-54.842846
133.789062	-56.186882
134.277344	-60.784138
134.765625	-58.537476
135.253906	-58.443645
135.742188	-58.392231
136.230469	-56.185341
136.718750	-56.401062
137.207031	-56.654163
137.695312	-54.677391
138.183594	-56.164837
138.671875	-55.548737
139.160156	-56.760067
139.648438	-58.255070
140.136719	-56.718494
140.625000	-55.025646
141.113281	-56.658726
141.601562	-57.042568
142.089844	-56.585270
142.578125	-57.236122
143.066406	-57.294121
143.554688	-57.832951
144.042969	-57.685196
144.531250	-58.142899
145.019531	-56.297337
145.507812	-57.795746
145.996094	-56.974361
146.484375	-56.934822
146.972656	-55.616150
147.460938	-55.533291
147.949219	-56.701107
148.437500	-59.142555
148.925781	-56.851902
149.414062	-58.637241
149.902344	-56.625168
150.390625	-56.026169
150.878906	-58.329155
151.367188	-56.600952
151.855469	-58.879963
152.343750	-59.743362
152.832031	-57.263435
153.320312	-54.844044
153.808594	-56.494572
154.296875	-59.066509
154.785156	-58.773556
155.273438	-58.586029
155.761719	-58.235859
156.250000	-57.840408
156.738281	-57.544357
157.226562	-61.983372
157.714844	-60.081230
158.203125	-56.195740
158.691406	-57.406654
159.179688	-57.786411
159.667969	-56.748837
160.156250	-58.163887
160.644531	-59.905239
161.132812	-59.107162
161.621094	-56.895206
162.109375	-56.814186
162.597656	-61.920109
163.085938	-59.442474
163.574219	-58.047596
164.062500	-57.570854
164.550781	-57.841110
165.039062	-58.093746
165.527344	-56.116173
166.015625	-54.930450
166.503906	-56.155762
166.992188	-56.972233
167.480469	-56.666451
167.968750	-55.879345
168.457031	-57.002369
168.945312	-58.562843
169.433594	-58.009197
169.921875	-56.885880
170.410156	-58.880165
170.898438	-58.995712
171.386719	-57.052212
171.875000	-60.302135
172.363281	-58.406929
172.851562	-58.177906
173.339844	-60.433212
173.828125	-58.624180
174.316406	-56.656616
174.804688	-58.451244
175.292969	-58.839741
175.781250	-57.865341
176.269531	-60.030895
176.757812	-59.300476
177.246094	-60.015587
177.734375	-60.351101
178.222656	-60.218216
178.710938	-58.300674
179.199219	-57.559250
179.687500	-56.774776
180.175781	-57.076118
180.664062	-59.903900
181.152344	-59.584209
181.640625	-56.404118
182.128906	-59.275730
182.617188	-60.306396
183.105469	-57.706505
183.593750	-60.280750
184.082031	-61.901569
184.570312	-60.225964
185.058594	-59.436863
185.546875	-58.206631
186.035156	-61.355862
186.523438	-58.125813
187.011719	-64.279999
187.500000	-60.377857
187.988281	-62.283607
188.476562	-59.693691
188.964844	-59.441730
189.453125	-59.620869
189.941406	-58.775185
190.429688	-59.231373
190.917969	-59.780956
191.406250	-59.026970
191.894531	-60.324112
192.382812	-62.159771
192.871094	-62.331413
193.359375	-62.465790
