Frequency (Hz)	Level (dB)
0.244141	-81.990227
0.488281	-81.681831
0.732422	-81.604996
0.976562	-81.390495
1.220703	-80.770332
1.464844	-80.238594
1.708984	-79.899506
1.953125	-79.415833
2.197266	-78.684837
2.441406	-78.113251
2.685547	-77.541191
2.929688	-77.059662
3.173828	-76.397163
3.417969	-75.693672
3.662109	-75.173187
3.906250	-74.547935
4.150391	-74.088081
4.394531	-73.634476
4.638672	-72.870705
4.882812	-72.323746
5.126953	-71.942284
5.371094	-71.614922
5.615234	-70.951057
5.859375	-70.516685
6.103516	-69.783669
6.347656	-69.599480
6.591797	-69.344742
6.835938	-68.731827
7.080078	-68.268608
7.324219	-67.897095
7.568359	-67.523781
7.812500	-67.220955
8.056641	-66.835632
8.300781	-66.451706
8.544922	-66.322823
8.789062	-66.178833
9.033203	-65.724022
9.277344	-65.207161
9.521484	-64.694054
9.765625	-64.175110
10.009766	-64.176399
10.253906	-64.100555
10.498047	-63.926907
10.742188	-63.627674
10.986328	-63.223251
11.230469	-63.219170
11.474609	-63.289154
11.718750	-62.602650
11.962891	-62.368095
12.207031	-62.109222
12.451172	-61.665474
12.695312	-61.615387
12.939453	-61.075386
13.183594	-60.968346
13.427734	-60.926804
13.671875	-61.027752
13.916016	-60.825878
14.160156	-61.008488
14.404297	-61.146202
14.648438	-60.663765
14.892578	-60.010792
15.136719	-60.004738
15.380859	-60.041748
15.625000	-60.018929
15.869141	-59.456608
16.113281	-59.566658
16.357422	-59.755390
16.601562	-59.476814
16.845703	-58.929810
17.089844	-58.008205
17.333984	-57.926826
17.578125	-58.300915
17.822266	-58.057945
18.066406	-58.761097
18.310547	-58.303070
18.554688	-57.912422
18.798828	-58.047047
19.042969	-57.753078
19.287109	-57.712463
19.531250	-57.851437
19.775391	-56.689735
20.019531	-57.003284
20.263672	-57.305843
20.507812	-57.005058
20.751953	-56.880539
20.996094	-56.596905
21.240234	-56.652218
21.484375	-56.867435
21.728516	-55.963387
21.972656	-56.129688
22.216797	-56.134987
22.460938	-55.590164
22.705078	-55.427097
22.949219	-56.327515
23.193359	-55.582527
23.437500	-56.047447
23.681641	-55.496479
23.925781	-55.491650
24.169922	-54.960159
24.414062	-55.932819
24.658203	-56.156723
24.902344	-56.082039
25.146484	-55.526558
25.390625	-55.081978
25.634766	-55.584587
25.878906	-55.400963
26.123047	-54.389034
26.367188	-55.365883
26.611328	-55.675037
26.855469	-56.373344
27.099609	-54.793774
27.343750	-55.362053
27.587891	-54.482529
27.832031	-53.379448
28.076172	-55.646637
28.320312	-55.196022
28.564453	-55.051155
28.808594	-54.961914
29.052734	-54.687733
29.296875	-54.585854
29.541016	-55.147129
29.785156	-54.823158
30.029297	-53.609200
30.273438	-54.984859
30.517578	-55.548805
30.761719	-54.407413
31.005859	-53.823441
31.250000	-53.981083
31.494141	-53.214073
31.738281	-54.278427
31.982422	-54.001522
32.226562	-54.088329
32.470703	-50.989689
32.714844	-54.151936
32.958984	-53.711834
33.203125	-54.480530
33.447266	-54.642773
33.691406	-54.858639
33.935547	-55.336571
34.179688	-53.354259
34.423828	-54.329060
34.667969	-52.784935
34.912109	-52.629322
35.156250	-52.175709
35.400391	-52.894135
35.644531	-54.446999
35.888672	-53.806740
36.132812	-54.146587
36.376953	-52.242062
36.621094	-53.424355
36.865234	-54.620403
37.109375	-52.684723
37.353516	-53.579510
37.597656	-53.427265
37.841797	-51.961208
38.085938	-52.781815
38.330078	-53.539062
38.574219	-55.786602
38.818359	-53.825378
39.062500	-53.840000
39.306641	-54.205536
39.550781	-54.146564
39.794922	-52.616432
40.039062	-53.252644
40.283203	-53.269016
40.527344	-53.483566
40.771484	-55.438374
41.015625	-53.101105
41.259766	-53.122475
41.503906	-52.544689
41.748047	-53.620720
41.992188	-52.871414
42.236328	-53.371613
42.480469	-52.095383
42.724609	-53.993721
42.968750	-53.976334
43.212891	-54.011044
43.457031	-52.263958
43.701172	-51.498722
43.945312	-51.669182
44.189453	-51.311638
44.433594	-52.419159
44.677734	-54.616634
44.921875	-52.908649
