Frequency (Hz)	Level (dB)
0.488281	-98.561447
0.976562	-98.452759
1.464844	-98.272285
1.953125	-98.496666
2.441406	-98.139488
2.929688	-98.557640
3.417969	-97.913528
3.906250	-95.416664
4.394531	-96.477753
4.882812	-96.329269
5.371094	-95.882767
5.859375	-96.376869
6.347656	-91.095825
6.835938	-92.394791
7.324219	-93.472511
7.812500	-95.804474
8.300781	-95.995453
8.789062	-93.801796
9.277344	-92.769981
9.765625	-92.316063
10.253906	-90.574066
10.742188	-89.299484
11.230469	-89.876625
11.718750	-86.801552
12.207031	-86.962387
12.695312	-87.086800
13.183594	-87.110497
13.671875	-86.276947
14.160156	-87.540047
14.648438	-84.764809
15.136719	-86.848999
15.625000	-87.221008
16.113281	-83.510101
16.601562	-82.828629
17.089844	-83.492989
17.578125	-82.737389
18.066406	-82.377556
18.554688	-83.980148
19.042969	-81.067558
19.531250	-83.710335
20.019531	-81.999496
20.507812	-80.527512
20.996094	-83.933266
21.484375	-81.912537
21.972656	-78.958595
22.460938	-79.544479
22.949219	-79.160400
23.437500	-77.665764
23.925781	-80.297737
24.414062	-82.419334
24.902344	-79.772507
25.390625	-79.632164
25.878906	-80.940765
26.367188	-80.307785
26.855469	-80.184326
27.343750	-79.240211
27.832031	-79.265884
28.320312	-77.479286
28.808594	-78.665512
29.296875	-79.627609
29.785156	-76.333237
30.273438	-79.258392
30.761719	-79.608627
31.250000	-79.323616
31.738281	-82.304993
32.226562	-79.827965
32.714844	-80.932617
33.203125	-77.078232
33.691406	-78.052437
34.179688	-78.975708
34.667969	-81.499374
35.156250	-78.913399
35.644531	-80.385155
36.132812	-76.964905
36.621094	-75.000786
37.109375	-80.041008
37.597656	-75.978287
38.085938	-77.052872
38.574219	-77.675697
39.062500	-76.037277
39.550781	-76.945999
40.039062	-76.229218
40.527344	-78.762856
41.015625	-77.005539
41.503906	-76.694672
41.992188	-74.890549
42.480469	-74.992096
42.968750	-76.595314
43.457031	-79.656914
43.945312	-77.269753
44.433594	-73.477043
44.921875	-75.728432
45.410156	-75.698265
45.898438	-78.019073
46.386719	-77.831955
46.875000	-74.222183
47.363281	-75.672264
47.851562	-75.791977
48.339844	-76.465881
48.828125	-76.936455
49.316406	-76.346390
