Frequency (Hz)	Level (dB)
0.244141	-102.447601
0.488281	-102.531410
0.732422	-102.399872
0.976562	-102.453102
1.220703	-102.349815
1.464844	-102.048325
1.708984	-102.379517
1.953125	-102.387550
2.197266	-102.377136
2.441406	-101.849075
2.685547	-101.716805
2.929688	-102.609009
3.173828	-102.092690
3.417969	-101.177834
3.662109	-99.391518
3.906250	-98.114510
4.150391	-97.738426
4.394531	-101.307060
4.638672	-100.192055
4.882812	-99.805695
5.126953	-104.631218
5.371094	-98.784500
5.615234	-102.386017
5.859375	-98.786491
6.103516	-97.121140
6.347656	-94.549278
6.591797	-93.231812
6.835938	-95.579926
7.080078	-96.704803
7.324219	-97.188446
7.568359	-97.779694
7.812500	-100.565910
8.056641	-101.164108
8.300781	-99.658348
8.544922	-97.801460
8.789062	-95.335869
9.033203	-99.948860
9.277344	-95.205734
9.521484	-98.947624
9.765625	-94.870911
10.009766	-96.233414
10.253906	-94.061485
10.498047	-91.610947
10.742188	-93.283775
10.986328	-92.351311
11.230469	-92.744949
11.474609	-89.955528
11.718750	-89.898132
11.962891	-89.372627
12.207031	-91.867996
12.451172	-88.640823
12.695312	-90.931679
12.939453	-90.944534
13.183594	-90.711617
13.427734	-86.439240
13.671875	-91.246101
13.916016	-89.566147
14.160156	-90.749039
14.404297	-92.483437
14.648438	-86.426498
14.892578	-87.901268
15.136719	-90.281700
15.380859	-89.935387
15.625000	-89.912544
15.869141	-89.019867
16.113281	-86.819664
16.357422	-83.181473
16.601562	-86.438110
16.845703	-89.981941
17.089844	-86.623260
17.333984	-88.451218
17.578125	-88.230621
17.822266	-83.853256
18.066406	-85.841858
18.310547	-85.908363
18.554688	-88.865952
18.798828	-84.895744
19.042969	-85.073387
19.287109	-86.331467
19.531250	-86.347076
19.775391	-86.799492
20.019531	-83.694016
20.263672	-88.805794
20.507812	-85.806740
20.751953	-80.531082
20.996094	-89.717934
21.240234	-85.370605
21.484375	-85.470009
21.728516	-91.102448
21.972656	-82.332764
22.216797	-80.778564
22.460938	-81.347740
22.705078	-83.160904
22.949219	-83.577576
23.193359	-79.637428
23.437500	-80.205574
23.681641	-83.937164
23.925781	-84.277527
24.169922	-83.235008
24.414062	-87.771576
24.658203	-85.057091
24.902344	-81.841721
25.146484	-85.356194
25.390625	-80.144012
25.634766	-81.140289
25.878906	-85.979698
26.123047	-83.526207
26.367188	-83.198662
26.611328	-84.039185
26.855469	-84.881157
27.099609	-83.453865
27.343750	-82.237068
27.587891	-79.290062
27.832031	-85.522552
28.076172	-81.230232
28.320312	-79.659103
28.564453	-79.326820
28.808594	-81.732811
29.052734	-86.826653
29.296875	-83.517822
29.541016	-77.859894
29.785156	-80.045044
30.029297	-86.718704
30.273438	-81.600906
30.517578	-81.767624
30.761719	-81.461769
31.005859	-83.767815
31.250000	-82.295715
31.494141	-85.022934
31.738281	-89.156509
31.982422	-83.934204
32.226562	-83.660217
32.470703	-81.092041
32.714844	-88.722229
32.958984	-81.489250
33.203125	-80.342079
33.447266	-79.415543
33.691406	-79.753052
33.935547	-83.075684
34.179688	-81.603798
34.423828	-85.425346
34.667969	-85.149391
34.912109	-84.196304
35.156250	-81.661133
35.400391	-85.921906
35.644531	-81.409370
35.888672	-81.375305
36.132812	-80.280121
36.376953	-78.403137
36.621094	-78.182381
36.865234	-78.223602
37.109375	-84.120712
37.353516	-83.040901
37.597656	-78.243858
37.841797	-84.051537
38.085938	-79.375252
38.330078	-78.857964
38.574219	-79.195145
38.818359	-80.888275
39.062500	-77.106010
39.306641	-81.841400
39.550781	-79.394493
39.794922	-78.363075
40.039062	-79.749435
40.283203	-82.196457
40.527344	-82.497307
40.771484	-81.018166
41.015625	-80.224297
41.259766	-76.845634
41.503906	-80.961273
41.748047	-82.959007
41.992188	-78.769470
42.236328	-75.952820
42.480469	-77.846512
42.724609	-77.998528
42.968750	-80.707062
43.212891	-81.138634
43.457031	-82.908134
43.701172	-83.257675
43.945312	-79.282509
44.189453	-78.322212
44.433594	-76.472565
44.677734	-79.527168
44.921875	-78.877769
45.166016	-80.255035
45.410156	-77.846321
45.654297	-80.022423
45.898438	-83.114975
46.142578	-81.155769
46.386719	-79.287338
46.630859	-81.171234
46.875000	-77.545258
47.119141	-75.395744
47.363281	-80.776077
47.607422	-77.592155
47.851562	-77.770111
48.095703	-81.079071
48.339844	-79.051201
48.583984	-78.889626
48.828125	-80.928108
49.072266	-79.141098
49.316406	-81.465065
49.560547	-76.089523
49.804688	-76.715256
50.048828	-77.228760
50.292969	-76.711655
50.537109	-78.523514
50.781250	-67.135338
51.025391	-80.725052
51.269531	-77.298485
51.513672	-76.517563
51.757812	-76.305779
52.001953	-76.964409
52.246094	-81.001968
52.490234	-76.777565
52.734375	-78.647644
52.978516	-78.615807
53.222656	-67.831543
53.466797	-74.458183
53.710938	-75.860878
53.955078	-79.366814
54.199219	-79.272591
54.443359	-74.683197
54.687500	-74.402664
54.931641	-75.401077
55.175781	-76.089371
55.419922	-77.556099
55.664062	-75.031021
55.908203	-73.674736
56.152344	-77.888405
56.396484	-76.595535
56.640625	-75.164673
56.884766	-75.131210
57.128906	-73.480789
57.373047	-73.867462
57.617188	-71.293777
57.861328	-73.793068
58.105469	-74.523544
58.349609	-76.924065
58.593750	-74.467056
58.837891	-70.867699
59.082031	-75.342247
59.326172	-72.639236
59.570312	-73.311165
59.814453	-74.787827
60.058594	-75.221588
60.302734	-78.858032
60.546875	-75.440727
60.791016	-72.915489
61.035156	-75.864586
61.279297	-77.853104
61.523438	-74.699631
61.767578	-79.428215
62.011719	-78.158791
62.255859	-75.055969
62.500000	-75.217903
62.744141	-74.879593
62.988281	-75.814697
63.232422	-74.641045
63.476562	-73.230408
63.720703	-75.858765
63.964844	-78.123482
64.208984	-77.792130
64.453125	-82.433609
64.697266	-76.860291
64.941406	-81.509560
65.185547	-81.533234
65.429688	-83.297981
65.673828	-76.788147
65.917969	-78.087357
66.162109	-78.609627
66.406250	-75.614502
66.650391	-82.953201
66.894531	-80.025536
67.138672	-78.344185
67.382812	-78.823654
67.626953	-79.638206
67.871094	-77.734337
68.115234	-78.499268
68.359375	-82.368591
68.603516	-80.899727
68.847656	-80.883583
69.091797	-77.455116
69.335938	-78.871017
69.580078	-79.991524
69.824219	-82.690834
70.068359	-86.039703
70.312500	-80.063675
70.556641	-79.599098
70.800781	-76.817146
71.044922	-80.626602
71.289062	-75.730705
71.533203	-77.186974
71.777344	-79.257889
72.021484	-77.473015
72.265625	-76.058601
72.509766	-79.788338
72.753906	-76.484917
72.998047	-77.840889
73.242188	-76.351288
73.486328	-77.230865
73.730469	-77.059799
73.974609	-80.886520
74.218750	-78.800873
74.462891	-80.240875
74.707031	-77.317444
74.951172	-72.655418
75.195312	-71.503914
75.439453	-76.888145
75.683594	-78.904228
75.927734	-77.117073
76.171875	-78.327591
76.416016	-76.369446
76.660156	-77.214020
76.904297	-78.817261
77.148438	-79.436829
77.392578	-75.390373
77.636719	-78.130623
77.880859	-76.001793
78.125000	-79.620125
78.369141	-76.714272
78.613281	-76.596634
78.857422	-82.042412
79.101562	-82.334839
79.345703	-81.414154
79.589844	-82.934700
79.833984	-81.976463
80.078125	-80.354988
80.322266	-77.969856
80.566406	-77.053299
80.810547	-78.947090
81.054688	-81.463272
81.298828	-85.539513
81.542969	-80.128677
81.787109	-82.076202
82.031250	-79.515656
82.275391	-79.001236
82.519531	-78.522751
82.763672	-76.832779
83.007812	-77.407104
83.251953	-78.066696
83.496094	-75.112480
83.740234	-76.517616
83.984375	-79.116631
84.228516	-80.291611
84.472656	-76.574432
84.716797	-79.976372
84.960938	-74.750885
85.205078	-73.358696
85.449219	-79.066429
85.693359	-78.113991
85.937500	-76.644615
86.181641	-76.851997
86.425781	-76.595383
86.669922	-74.133057
86.914062	-74.563560
87.158203	-80.118866
87.402344	-80.253418
87.646484	-77.600151
87.890625	-78.300034
88.134766	-76.307411
88.378906	-75.218033
88.623047	-78.107483
88.867188	-78.362404
89.111328	-73.746933
89.355469	-75.344742
89.599609	-74.876930
89.843750	-76.874161
90.087891	-79.898033
90.332031	-75.992989
90.576172	-74.746651
90.820312	-76.606522
91.064453	-76.492996
91.308594	-75.781754
91.552734	-78.714615
91.796875	-78.111534
92.041016	-79.141258
92.285156	-77.482147
92.529297	-82.920593
92.773438	-79.652199
93.017578	-78.602997
93.261719	-82.512093
93.505859	-79.367012
93.750000	-77.007278
93.994141	-81.976151
94.238281	-78.137154
94.482422	-78.280602
94.726562	-82.566376
94.970703	-84.547295
95.214844	-82.005333
95.458984	-80.870132
95.703125	-79.136459
95.947266	-78.580986
96.191406	-78.119545
96.435547	-78.012047
96.679688	-83.993721
96.923828	-76.845673
97.167969	-83.231735
97.412109	-81.370255
97.656250	-80.442162
97.900391	-80.143707
98.144531	-79.978027
98.388672	-81.430885
98.632812	-81.609138
98.876953	-80.029427
99.121094	-80.493698
99.365234	-83.518654
99.609375	-85.189262
99.853516	-77.209145
100.097656	-81.807823
100.341797	-82.088623
100.585938	-82.571175
100.830078	-83.899384
101.074219	-83.827141
101.318359	-81.455528
101.562500	-82.712433
101.806641	-78.226898
102.050781	-76.008873
102.294922	-77.742393
102.539062	-80.924881
102.783203	-83.071770
103.027344	-78.920158
103.271484	-77.940979
103.515625	-79.254379
103.759766	-76.745186
104.003906	-78.526169
104.248047	-80.172882
104.492188	-79.284409
104.736328	-83.881859
104.980469	-78.174171
105.224609	-78.552284
105.468750	-77.041626
105.712891	-82.819237
105.957031	-79.992294
106.201172	-77.429306
106.445312	-78.514519
106.689453	-76.713188
106.933594	-80.722023
107.177734	-81.840981
107.421875	-83.260864
107.666016	-81.392776
107.910156	-79.441330
108.154297	-82.730980
108.398438	-85.531090
108.642578	-80.898804
108.886719	-78.620789
109.130859	-77.583435
109.375000	-85.047195
109.619141	-78.136757
109.863281	-78.659676
110.107422	-79.590752
110.351562	-81.982628
110.595703	-78.676613
110.839844	-81.406731
111.083984	-79.872658
111.328125	-80.719597
111.572266	-81.558365
111.816406	-81.117844
112.060547	-79.199249
112.304688	-83.405647
112.548828	-77.772301
112.792969	-79.562981
113.037109	-75.247444
113.281250	-76.096146
113.525391	-75.341240
113.769531	-76.569031
114.013672	-74.477661
114.257812	-73.420509
114.501953	-77.597763
114.746094	-77.708481
114.990234	-79.104263
115.234375	-81.024460
115.478516	-82.496841
115.722656	-81.335289
115.966797	-80.195343
116.210938	-77.784798
116.455078	-81.072655
116.699219	-79.971107
116.943359	-78.410263
117.187500	-81.015160
117.431641	-82.514336
117.675781	-81.711136
117.919922	-82.075989
118.164062	-81.685364
118.408203	-79.610313
118.652344	-79.301750
118.896484	-79.805397
119.140625	-82.472313
119.384766	-83.641403
119.628906	-82.591736
119.873047	-79.337585
120.117188	-78.579498
120.361328	-85.486084
120.605469	-82.089645
120.849609	-82.661514
121.093750	-83.790878
121.337891	-78.622673
121.582031	-81.380051
121.826172	-76.769981
122.070312	-78.807281
122.314453	-83.334785
122.558594	-78.953583
122.802734	-84.000900
123.046875	-80.256683
123.291016	-82.217155
123.535156	-78.860825
123.779297	-83.009399
124.023438	-79.416512
124.267578	-80.768623
124.511719	-80.245605
124.755859	-81.412895
125.000000	-82.113800
125.244141	-78.538437
125.488281	-77.298378
125.732422	-85.593346
125.976562	-88.023201
126.220703	-79.438469
126.464844	-85.017738
126.708984	-82.331795
126.953125	-78.750694
127.197266	-83.053749
127.441406	-81.717270
127.685547	-81.451241
127.929688	-82.657097
128.173828	-86.077080
128.417969	-80.482407
128.662109	-82.261154
128.906250	-79.229782
129.150391	-78.181877
129.394531	-80.480255
129.638672	-80.457352
129.882812	-81.312675
130.126953	-81.535484
130.371094	-79.433693
130.615234	-80.330109
130.859375	-82.950302
131.103516	-83.452950
131.347656	-83.967339
131.591797	-79.779373
131.835938	-85.135963
132.080078	-80.459549
132.324219	-82.243729
132.568359	-85.046005
132.812500	-79.015991
133.056641	-82.575241
133.300781	-83.495422
133.544922	-79.698341
133.789062	-79.829147
134.033203	-81.275391
134.277344	-84.086761
134.521484	-80.897453
134.765625	-83.387878
135.009766	-81.281662
135.253906	-80.960625
135.498047	-83.756378
135.742188	-80.183434
135.986328	-82.627884
136.230469	-83.257607
136.474609	-87.762741
136.718750	-85.001541
136.962891	-85.470657
137.207031	-83.068703
137.451172	-84.664223
137.695312	-81.772400
137.939453	-80.861816
138.183594	-82.837952
138.427734	-80.362366
138.671875	-82.080948
138.916016	-82.957726
139.160156	-83.963455
139.404297	-82.695847
139.648438	-80.128372
139.892578	-76.789688
140.136719	-80.371239
140.380859	-82.995903
140.625000	-78.670029
140.869141	-78.103020
141.113281	-76.039246
141.357422	-81.389458
141.601562	-83.552055
141.845703	-79.721725
142.089844	-83.051353
142.333984	-78.891487
142.578125	-81.097267
142.822266	-85.432129
143.066406	-81.694199
143.310547	-79.067337
143.554688	-83.295364
143.798828	-79.216263
144.042969	-77.852524
144.287109	-81.582565
144.531250	-79.787605
144.775391	-80.240730
145.019531	-84.366508
145.263672	-80.307236
145.507812	-82.523567
145.751953	-80.736725
145.996094	-80.960472
146.240234	-83.170265
146.484375	-80.321457
146.728516	-81.727524
146.972656	-81.480133
147.216797	-79.790337
147.460938	-81.035873
147.705078	-79.056992
147.949219	-82.195808
148.193359	-83.659653
148.437500	-79.797180
148.681641	-79.991829
148.925781	-78.805740
149.169922	-79.086128
149.414062	-80.266167
149.658203	-79.561058
149.902344	-81.035828
150.146484	-79.103302
150.390625	-80.013718
150.634766	-83.576439
150.878906	-79.383270
151.123047	-81.750481
151.367188	-81.044586
151.611328	-83.195221
151.855469	-79.967819
152.099609	-79.479500
152.343750	-80.191696
152.587891	-87.210991
152.832031	-78.396317
153.076172	-87.305969
153.320312	-80.932579
153.564453	-80.558228
153.808594	-84.023376
154.052734	-83.879265
154.296875	-78.996109
154.541016	-80.438538
154.785156	-78.253021
155.029297	-80.330002
155.273438	-78.448227
155.517578	-80.255882
155.761719	-81.067406
156.005859	-80.857651
156.250000	-75.939240
156.494141	-80.522995
156.738281	-84.015259
156.982422	-84.947304
157.226562	-82.364105
157.470703	-81.963409
157.714844	-80.028152
157.958984	-81.702003
158.203125	-78.747383
158.447266	-78.320839
158.691406	-80.807755
158.935547	-81.669357
159.179688	-79.043411
159.423828	-85.103127
159.667969	-82.129990
159.912109	-82.819397
160.156250	-79.378311
160.400391	-81.326805
160.644531	-78.290131
160.888672	-79.710052
161.132812	-83.771820
161.376953	-81.388313
161.621094	-81.424606
161.865234	-80.322571
162.109375	-80.388023
162.353516	-77.708405
162.597656	-82.594284
162.841797	-81.318375
163.085938	-79.348129
163.330078	-80.011765
163.574219	-80.351364
163.818359	-82.352493
164.062500	-80.553932
164.306641	-80.390480
164.550781	-79.320930
164.794922	-78.693283
165.039062	-77.280952
165.283203	-79.658989
165.527344	-80.807320
165.771484	-82.971970
166.015625	-82.491486
166.259766	-82.286110
166.503906	-77.333260
166.748047	-81.117508
166.992188	-80.554199
167.236328	-79.595711
167.480469	-82.131546
167.724609	-77.066612
167.968750	-81.386948
168.212891	-81.503456
168.457031	-82.088341
168.701172	-82.591972
168.945312	-80.607941
169.189453	-82.796669
169.433594	-82.433716
169.677734	-80.181717
169.921875	-79.974442
170.166016	-83.367111
170.410156	-81.255577
170.654297	-81.828712
170.898438	-81.166115
171.142578	-79.629456
171.386719	-82.858665
171.630859	-82.206726
171.875000	-84.734772
172.119141	-82.821159
172.363281	-89.389252
172.607422	-89.637360
172.851562	-82.438118
173.095703	-86.232040
173.339844	-82.103951
173.583984	-83.365112
173.828125	-84.315834
174.072266	-85.403015
174.316406	-82.709579
174.560547	-80.141731
174.804688	-82.125114
175.048828	-83.149612
175.292969	-86.008438
175.537109	-84.442879
175.781250	-81.490005
176.025391	-81.506042
176.269531	-82.545845
176.513672	-85.840317
176.757812	-79.917717
177.001953	-84.473442
177.246094	-83.014519
177.490234	-80.997437
177.734375	-79.369987
177.978516	-76.874245
178.222656	-80.446457
178.466797	-83.495605
178.710938	-82.050438
178.955078	-89.354851
179.199219	-84.169571
179.443359	-82.512146
179.687500	-79.579895
179.931641	-79.923576
180.175781	-81.200485
180.419922	-82.561577
180.664062	-80.862595
180.908203	-79.969910
181.152344	-86.207642
181.396484	-84.731247
181.640625	-86.497681
181.884766	-81.316162
182.128906	-83.787056
182.373047	-81.902023
182.617188	-83.219650
182.861328	-83.035347
183.105469	-85.109314
183.349609	-86.131599
183.593750	-83.822502
183.837891	-83.327980
184.082031	-84.532448
184.326172	-81.437767
184.570312	-82.523811
184.814453	-86.888603
185.058594	-83.294907
185.302734	-82.637794
185.546875	-81.471779
