Frequency (Hz)	Level (dB)
0.488281	-96.286507
0.976562	-96.321442
1.464844	-96.238785
1.953125	-96.448402
2.441406	-96.365936
2.929688	-96.069801
3.417969	-95.765877
3.906250	-94.249893
4.394531	-94.863472
4.882812	-94.881699
5.371094	-94.919357
5.859375	-95.872597
6.347656	-94.813225
6.835938	-94.428017
7.324219	-94.177818
7.812500	-94.135956
8.300781	-95.058426
8.789062	-94.354218
9.277344	-93.544273
9.765625	-91.002708
10.253906	-91.635582
10.742188	-87.652695
11.230469	-87.905785
11.718750	-87.795082
12.207031	-86.308502
12.695312	-88.263847
13.183594	-89.118645
13.671875	-86.344864
14.160156	-88.154587
14.648438	-88.505547
15.136719	-86.223099
15.625000	-87.021904
16.113281	-85.875992
16.601562	-86.301659
17.089844	-86.441490
17.578125	-85.234604
18.066406	-82.550522
18.554688	-82.654182
19.042969	-82.007576
19.531250	-84.725159
20.019531	-84.752258
20.507812	-82.745483
20.996094	-83.161079
21.484375	-84.385605
21.972656	-80.690132
22.460938	-79.291992
22.949219	-78.297333
23.437500	-77.633804
23.925781	-79.904297
24.414062	-82.489090
24.902344	-80.125061
25.390625	-81.720032
25.878906	-78.401779
26.367188	-80.541618
26.855469	-83.859314
27.343750	-80.406601
27.832031	-79.258263
28.320312	-78.913818
28.808594	-79.039185
29.296875	-79.103821
29.785156	-75.567078
30.273438	-81.017845
30.761719	-80.996780
31.250000	-80.133621
31.738281	-80.396423
32.226562	-79.460388
32.714844	-79.017426
33.203125	-79.264511
33.691406	-81.754364
34.179688	-78.803787
34.667969	-78.292496
35.156250	-79.295708
35.644531	-80.640083
36.132812	-78.178879
36.621094	-77.105408
37.109375	-75.981216
37.597656	-77.369324
38.085938	-79.481087
38.574219	-78.335777
39.062500	-80.580688
39.550781	-78.229912
40.039062	-78.687668
40.527344	-76.821510
41.015625	-78.665497
41.503906	-74.388702
41.992188	-73.300514
42.480469	-74.879036
42.968750	-80.156349
43.457031	-74.925133
43.945312	-75.994339
44.433594	-74.599785
44.921875	-78.805092
45.410156	-73.710968
45.898438	-77.959198
46.386719	-75.448143
46.875000	-75.955750
47.363281	-76.808739
47.851562	-77.631592
48.339844	-76.426323
48.828125	-75.777489
49.316406	-76.762665
49.804688	-78.209236
50.292969	-73.197998
50.781250	-68.533928
51.269531	-74.178291
51.757812	-73.288857
52.246094	-73.008339
52.734375	-73.370644
53.222656	-67.602440
53.710938	-73.764091
54.199219	-72.823479
54.687500	-72.981590
55.175781	-75.298393
55.664062	-76.707184
56.152344	-70.849602
56.640625	-70.628990
57.128906	-70.429901
57.617188	-73.084114
