Frequency (Hz)	Level (dB)
0.244141	-106.570908
0.488281	-106.536034
0.732422	-106.572769
0.976562	-106.358017
1.220703	-105.854973
1.464844	-106.338562
1.708984	-105.519958
1.953125	-106.421593
2.197266	-106.176003
2.441406	-105.380516
2.685547	-107.497032
2.929688	-104.820427
3.173828	-104.957932
3.417969	-104.198288
3.662109	-100.967064
3.906250	-101.310623
4.150391	-102.197334
4.394531	-105.563866
4.638672	-105.552940
4.882812	-103.158112
5.126953	-102.539558
5.371094	-106.895844
5.615234	-100.791359
5.859375	-103.708099
6.103516	-99.482185
6.347656	-100.836105
6.591797	-98.810333
6.835938	-101.309853
7.080078	-96.880676
7.324219	-102.355003
7.568359	-101.479843
7.812500	-100.731277
8.056641	-99.233597
8.300781	-101.180389
8.544922	-99.058014
8.789062	-101.076675
9.033203	-103.345985
9.277344	-96.077896
9.521484	-94.930420
9.765625	-97.663765
10.009766	-98.413147
10.253906	-97.254730
10.498047	-96.474472
10.742188	-90.509972
10.986328	-91.781967
11.230469	-94.514214
11.474609	-91.846611
11.718750	-94.185753
11.962891	-89.168045
12.207031	-90.026550
12.451172	-89.774979
12.695312	-93.494553
12.939453	-89.691223
13.183594	-92.886864
13.427734	-91.494293
13.671875	-89.736618
13.916016	-93.170319
14.160156	-91.968628
14.404297	-94.060387
14.648438	-93.095604
14.892578	-90.591461
15.136719	-89.193214
15.380859	-88.881065
15.625000	-89.176788
15.869141	-92.116951
16.113281	-91.231102
16.357422	-86.713852
16.601562	-89.566391
16.845703	-88.583038
17.089844	-91.324554
17.333984	-91.991585
17.578125	-93.252449
17.822266	-84.559578
18.066406	-84.456245
18.310547	-86.453773
18.554688	-85.035439
18.798828	-84.986862
19.042969	-84.999222
19.287109	-87.246552
19.531250	-88.621017
19.775391	-89.286736
20.019531	-87.040344
20.263672	-90.240120
20.507812	-88.524155
20.751953	-83.608559
20.996094	-85.571404
21.240234	-88.391525
21.484375	-90.519043
21.728516	-84.746582
21.972656	-84.934395
22.216797	-84.720711
22.460938	-83.377998
22.705078	-80.653458
22.949219	-82.408463
23.193359	-78.885040
23.437500	-79.919258
23.681641	-82.101265
23.925781	-81.666412
24.169922	-84.599998
24.414062	-89.133263
24.658203	-83.969574
24.902344	-84.271461
25.146484	-84.017281
25.390625	-86.735321
25.634766	-82.533577
25.878906	-79.512230
26.123047	-84.723320
26.367188	-81.735985
26.611328	-86.441689
26.855469	-87.073189
27.099609	-82.025909
27.343750	-83.359596
27.587891	-84.695747
27.832031	-82.088585
