Frequency (Hz)	Level (dB)
0.488281	-100.077637
0.976562	-100.156357
1.464844	-100.377296
1.953125	-100.006027
2.441406	-100.090599
2.929688	-100.035240
3.417969	-98.314964
3.906250	-98.270996
4.394531	-100.108459
4.882812	-99.568085
5.371094	-97.638840
5.859375	-96.575851
6.347656	-98.860054
6.835938	-95.653130
7.324219	-98.655846
7.812500	-97.078438
8.300781	-99.608040
8.789062	-99.343643
9.277344	-93.376320
9.765625	-92.968124
10.253906	-90.040413
10.742188	-89.093300
11.230469	-90.890266
11.718750	-86.687813
12.207031	-90.430260
12.695312	-87.872375
13.183594	-88.845978
13.671875	-87.865341
14.160156	-89.750298
14.648438	-87.456253
15.136719	-88.374718
15.625000	-87.760574
16.113281	-85.259155
16.601562	-85.322350
17.089844	-85.910210
17.578125	-87.415222
18.066406	-85.801903
18.554688	-86.142448
19.042969	-83.972755
19.531250	-81.089561
20.019531	-84.263634
20.507812	-82.818398
20.996094	-84.463287
21.484375	-85.732826
21.972656	-82.177452
22.460938	-80.321747
22.949219	-77.484604
23.437500	-78.020073
23.925781	-81.247787
24.414062	-82.851997
24.902344	-82.953728
25.390625	-79.939522
25.878906	-78.846855
26.367188	-80.517174
26.855469	-77.129646
27.343750	-78.473549
27.832031	-80.163788
28.320312	-82.975113
28.808594	-79.579971
29.296875	-81.210449
29.785156	-78.632278
30.273438	-77.750832
30.761719	-79.781776
31.250000	-79.286079
31.738281	-76.567116
32.226562	-79.693108
32.714844	-78.257927
33.203125	-80.018196
33.691406	-77.397964
34.179688	-81.226295
34.667969	-79.045364
35.156250	-78.860634
35.644531	-79.108215
36.132812	-75.822571
36.621094	-76.834946
37.109375	-80.058136
37.597656	-78.146843
38.085938	-77.952049
38.574219	-77.704834
39.062500	-78.129631
39.550781	-81.110947
40.039062	-79.982674
40.527344	-79.562202
41.015625	-77.654533
41.503906	-74.623901
41.992188	-75.216255
42.480469	-77.424126
42.968750	-77.347054
43.457031	-78.031662
43.945312	-76.416534
44.433594	-75.294586
44.921875	-75.924881
45.410156	-76.292297
45.898438	-80.564056
46.386719	-84.659897
46.875000	-77.680672
47.363281	-76.855774
47.851562	-76.450394
48.339844	-76.844963
48.828125	-80.672867
49.316406	-76.084694
49.804688	-73.044983
50.292969	-75.916992
50.781250	-71.578590
51.269531	-74.420792
51.757812	-77.642532
52.246094	-75.138336
52.734375	-73.529694
53.222656	-68.265182
53.710938	-73.054878
54.199219	-74.067993
54.687500	-77.731567
55.175781	-74.039467
55.664062	-76.010780
56.152344	-71.427902
56.640625	-72.106842
57.128906	-72.257759
57.617188	-70.455544
58.105469	-73.267090
58.593750	-72.806793
59.082031	-72.811920
59.570312	-73.053085
60.058594	-71.042854
60.546875	-72.097473
61.035156	-75.150284
61.523438	-72.180084
62.011719	-71.847183
62.500000	-72.802055
62.988281	-69.823311
63.476562	-72.317833
63.964844	-73.884506
64.453125	-73.802711
64.941406	-78.716125
65.429688	-77.360260
65.917969	-77.664482
66.406250	-80.550774
66.894531	-76.891518
67.382812	-76.864151
67.871094	-77.281342
68.359375	-77.792351
68.847656	-75.064751
69.335938	-77.590096
69.824219	-80.563599
70.312500	-75.933578
70.800781	-76.510132
71.289062	-73.549416
71.777344	-76.237236
72.265625	-78.956985
72.753906	-75.995277
73.242188	-73.790192
73.730469	-72.810989
74.218750	-74.278313
74.707031	-72.880783
75.195312	-75.280281
75.683594	-74.997032
76.171875	-77.075714
76.660156	-75.526070
77.148438	-73.290314
77.636719	-77.246132
78.125000	-75.024139
78.613281	-76.150497
79.101562	-76.351471
79.589844	-77.830978
80.078125	-76.765266
80.566406	-76.563469
81.054688	-79.026726
81.542969	-80.028755
82.031250	-78.827606
82.519531	-76.455742
83.007812	-75.292656
83.496094	-74.050316
83.984375	-75.396294
84.472656	-74.121025
84.960938	-74.052826
85.449219	-78.539284
85.937500	-77.517479
86.425781	-72.747612
86.914062	-73.077667
87.402344	-71.698532
87.890625	-76.063316
88.378906	-75.597641
88.867188	-75.402489
89.355469	-73.914421
89.843750	-76.471878
90.332031	-73.120796
90.820312	-74.148354
91.308594	-74.292328
91.796875	-72.776665
92.285156	-76.346024
92.773438	-78.398979
93.261719	-79.554466
93.750000	-76.908386
94.238281	-78.461456
94.726562	-81.529060
95.214844	-78.923271
95.703125	-79.893661
96.191406	-78.904884
96.679688	-77.806648
97.167969	-77.465172
97.656250	-81.409096
98.144531	-77.132050
98.632812	-79.547630
99.121094	-83.137703
99.609375	-78.738144
100.097656	-78.367928
100.585938	-78.936104
101.074219	-79.337807
101.562500	-77.640739
102.050781	-77.025116
102.539062	-79.155449
103.027344	-75.419403
103.515625	-76.324501
104.003906	-77.028770
104.492188	-75.754112
104.980469	-75.279205
105.468750	-77.440170
105.957031	-77.657364
106.445312	-75.913483
106.933594	-75.480072
107.421875	-77.631683
107.910156	-79.702393
108.398438	-82.148132
108.886719	-77.703278
109.375000	-78.774178
109.863281	-77.386299
110.351562	-78.556068
110.839844	-78.851677
111.328125	-79.687363
111.816406	-79.434464
112.304688	-79.525856
112.792969	-77.034386
113.281250	-77.043732
113.769531	-74.173584
114.257812	-70.768112
114.746094	-74.137199
115.234375	-81.095970
115.722656	-78.580284
116.210938	-79.201561
116.699219	-76.715950
117.187500	-81.958702
117.675781	-80.088631
118.164062	-80.456253
118.652344	-80.713699
119.140625	-80.443214
119.628906	-78.335876
120.117188	-73.797348
120.605469	-81.556984
121.093750	-79.237694
121.582031	-79.562996
122.070312	-79.223122
122.558594	-79.408569
123.046875	-78.819145
123.535156	-80.846680
124.023438	-77.437897
124.511719	-80.255028
125.000000	-78.224167
125.488281	-78.127380
125.976562	-78.167686
126.464844	-79.650986
126.953125	-80.363464
127.441406	-81.853691
127.929688	-80.814819
128.417969	-81.759613
128.906250	-77.703049
129.394531	-80.995239
129.882812	-79.754601
130.371094	-77.604362
130.859375	-80.235283
131.347656	-79.716103
131.835938	-78.593254
132.324219	-79.634232
132.812500	-79.789108
133.300781	-81.425507
133.789062	-79.365685
134.277344	-81.205994
134.765625	-80.688828
135.253906	-81.610245
135.742188	-78.921692
136.230469	-81.764915
136.718750	-83.410881
137.207031	-80.564545
137.695312	-80.309944
138.183594	-78.806221
138.671875	-81.202774
139.160156	-81.254494
139.648438	-78.213684
140.136719	-79.308090
140.625000	-78.230751
141.113281	-80.021812
141.601562	-81.858459
142.089844	-80.300270
142.578125	-80.552795
143.066406	-80.426231
143.554688	-80.245842
144.042969	-79.779869
144.531250	-77.822281
145.019531	-80.182915
145.507812	-77.981865
145.996094	-79.708397
146.484375	-80.809288
146.972656	-80.319794
147.460938	-79.789688
147.949219	-81.953827
148.437500	-79.482887
148.925781	-77.575546
149.414062	-78.426056
149.902344	-79.320305
150.390625	-80.330162
150.878906	-80.510948
151.367188	-82.488770
151.855469	-78.766579
152.343750	-81.114029
152.832031	-79.183800
153.320312	-76.505173
153.808594	-80.025398
154.296875	-77.941513
154.785156	-77.171097
155.273438	-77.635155
155.761719	-78.798332
156.250000	-75.661110
156.738281	-77.552238
157.226562	-78.096458
157.714844	-79.193695
158.203125	-77.546135
158.691406	-78.836395
159.179688	-78.829239
159.667969	-79.709473
160.156250	-76.376778
160.644531	-79.354752
161.132812	-82.166367
161.621094	-79.836121
162.109375	-78.574867
162.597656	-81.128929
