Frequency (Hz)	Level (dB)
0.244141	-103.584587
0.488281	-103.652214
0.732422	-103.767784
0.976562	-103.805496
1.220703	-104.143089
1.464844	-103.899300
1.708984	-103.939819
1.953125	-103.688850
2.197266	-103.652290
2.441406	-103.393173
2.685547	-103.348259
2.929688	-103.308662
3.173828	-104.433113
3.417969	-102.675972
3.662109	-100.821396
3.906250	-101.646812
4.150391	-105.222618
4.394531	-104.593887
4.638672	-103.095497
4.882812	-102.099564
5.126953	-100.523094
5.371094	-100.746658
5.615234	-103.017387
5.859375	-100.347588
6.103516	-100.771461
6.347656	-102.973610
6.591797	-99.559570
6.835938	-98.858665
7.080078	-98.505295
7.324219	-101.919380
7.568359	-97.506859
7.812500	-100.945084
8.056641	-100.816002
8.300781	-101.788719
8.544922	-100.181694
8.789062	-101.274895
9.033203	-101.033653
9.277344	-95.628601
9.521484	-98.677444
9.765625	-98.801529
10.009766	-95.004875
10.253906	-90.480911
10.498047	-93.293106
10.742188	-91.071686
10.986328	-90.832794
11.230469	-97.617966
11.474609	-92.007027
11.718750	-89.592941
11.962891	-91.615440
12.207031	-95.676086
12.451172	-92.322609
12.695312	-90.042206
12.939453	-92.082031
13.183594	-91.004372
13.427734	-93.287865
13.671875	-89.377838
13.916016	-96.461823
14.160156	-94.222404
14.404297	-89.567078
14.648438	-90.361336
14.892578	-88.739891
15.136719	-91.102379
15.380859	-92.723572
15.625000	-94.866852
15.869141	-87.153694
16.113281	-88.881912
16.357422	-87.832611
16.601562	-87.092827
16.845703	-86.618629
17.089844	-90.049210
17.333984	-92.621605
17.578125	-90.022881
17.822266	-93.109138
18.066406	-95.846992
18.310547	-84.762726
18.554688	-91.443657
18.798828	-90.526360
19.042969	-87.512802
19.287109	-83.617874
19.531250	-87.932991
19.775391	-86.265274
20.019531	-85.909477
20.263672	-92.031601
20.507812	-86.655937
20.751953	-82.981316
20.996094	-88.847351
21.240234	-89.080757
21.484375	-89.779442
21.728516	-91.792900
21.972656	-83.909004
22.216797	-83.740158
22.460938	-82.036964
22.705078	-80.838333
22.949219	-79.800949
23.193359	-86.460449
23.437500	-79.839676
23.681641	-80.867165
23.925781	-84.562454
24.169922	-83.992043
24.414062	-85.767471
24.658203	-88.948250
