Frequency (Hz)	Level (dB)
0.488281	-98.120872
0.976562	-98.180832
1.464844	-98.100311
1.953125	-97.832825
2.441406	-97.998207
2.929688	-98.398911
3.417969	-98.021294
3.906250	-98.232346
4.394531	-97.334045
4.882812	-96.784843
5.371094	-97.652817
5.859375	-95.492714
6.347656	-95.161690
6.835938	-95.233803
7.324219	-95.710602
7.812500	-95.247047
8.300781	-96.213715
8.789062	-95.433487
9.277344	-95.084465
9.765625	-94.080086
10.253906	-92.204941
10.742188	-89.715530
11.230469	-91.693817
11.718750	-91.678810
12.207031	-89.651405
12.695312	-88.577339
13.183594	-90.315254
13.671875	-87.516388
14.160156	-90.409149
14.648438	-91.657249
15.136719	-90.736298
15.625000	-90.278702
16.113281	-90.823479
16.601562	-86.971458
17.089844	-86.305313
17.578125	-89.253799
18.066406	-87.738625
18.554688	-86.613380
19.042969	-86.635727
19.531250	-85.664993
20.019531	-86.371368
20.507812	-85.567734
20.996094	-87.295609
21.484375	-86.020950
21.972656	-82.857094
22.460938	-82.308372
22.949219	-82.264229
23.437500	-80.510460
23.925781	-82.094490
24.414062	-85.340210
24.902344	-82.866508
25.390625	-81.007690
25.878906	-82.499397
26.367188	-80.051216
26.855469	-80.676445
27.343750	-81.556686
27.832031	-84.083359
28.320312	-83.485199
28.808594	-86.097649
29.296875	-82.917389
29.785156	-80.728966
30.273438	-83.617889
30.761719	-83.442009
31.250000	-82.582413
31.738281	-84.062653
32.226562	-79.809044
32.714844	-81.039314
33.203125	-84.108147
33.691406	-81.812683
34.179688	-82.589020
34.667969	-83.189690
35.156250	-79.485580
35.644531	-81.917412
36.132812	-79.040390
36.621094	-78.671410
37.109375	-80.451164
37.597656	-82.275383
38.085938	-81.866745
38.574219	-81.346672
39.062500	-82.383934
39.550781	-82.503166
40.039062	-78.688354
40.527344	-83.340942
41.015625	-80.126701
41.503906	-77.909447
41.992188	-76.372086
42.480469	-78.263672
42.968750	-78.244881
43.457031	-79.394821
43.945312	-76.636711
44.433594	-75.299004
44.921875	-79.055115
45.410156	-80.347496
45.898438	-79.405701
46.386719	-79.668579
46.875000	-78.245026
47.363281	-78.563469
47.851562	-80.180664
48.339844	-79.537277
48.828125	-79.719070
49.316406	-77.270065
49.804688	-80.408905
50.292969	-75.945351
50.781250	-71.737602
51.269531	-75.129837
51.757812	-77.747742
52.246094	-75.185905
52.734375	-74.906593
53.222656	-68.530769
53.710938	-73.024414
54.199219	-75.142792
54.687500	-76.959175
55.175781	-74.714310
55.664062	-72.465584
56.152344	-74.781700
56.640625	-71.696098
57.128906	-72.249496
57.617188	-73.745369
58.105469	-71.218460
58.593750	-70.362511
59.082031	-71.934036
59.570312	-72.930717
60.058594	-73.668602
60.546875	-74.705269
61.035156	-74.803444
61.523438	-72.725548
62.011719	-72.637329
62.500000	-74.202545
62.988281	-74.795036
63.476562	-73.916595
63.964844	-74.308060
64.453125	-76.016281
64.941406	-77.594933
65.429688	-79.307915
65.917969	-78.849960
66.406250	-81.373207
66.894531	-79.653618
67.382812	-77.579102
67.871094	-78.398117
68.359375	-78.425323
68.847656	-77.227081
69.335938	-77.149513
69.824219	-77.186905
70.312500	-75.365425
70.800781	-75.796028
71.289062	-77.767731
71.777344	-76.811852
72.265625	-76.897354
72.753906	-77.051895
73.242188	-74.133743
73.730469	-75.410469
74.218750	-75.988602
74.707031	-75.023476
75.195312	-76.593132
75.683594	-73.538208
76.171875	-75.576500
76.660156	-75.543999
77.148438	-78.786713
77.636719	-77.681488
78.125000	-76.155136
78.613281	-76.112518
79.101562	-79.760902
79.589844	-77.968658
80.078125	-78.260857
80.566406	-78.775536
81.054688	-78.123466
81.542969	-79.810875
