Frequency (Hz)	Level (dB)
0.244141	-103.416161
0.488281	-103.316635
0.732422	-103.156731
0.976562	-103.540550
1.220703	-103.064842
1.464844	-103.200294
1.708984	-102.956520
1.953125	-103.038094
2.197266	-103.191971
2.441406	-103.344963
2.685547	-103.374138
2.929688	-103.429031
3.173828	-102.483047
3.417969	-104.096489
3.662109	-100.907852
3.906250	-102.564285
4.150391	-102.130440
4.394531	-101.737556
4.638672	-101.508850
4.882812	-100.287056
5.126953	-102.534950
5.371094	-101.315178
5.615234	-100.071304
5.859375	-101.420830
6.103516	-100.725388
6.347656	-98.983032
6.591797	-99.701836
6.835938	-97.885063
7.080078	-100.904167
7.324219	-100.679581
7.568359	-98.385101
7.812500	-100.468727
8.056641	-100.638771
8.300781	-99.668381
8.544922	-104.283516
8.789062	-99.297516
9.033203	-98.109482
9.277344	-100.017136
9.521484	-98.200577
9.765625	-99.166107
10.009766	-96.706085
10.253906	-94.613564
10.498047	-96.290237
10.742188	-95.137329
10.986328	-94.551544
11.230469	-95.525856
11.474609	-95.710205
11.718750	-94.950218
11.962891	-94.359879
12.207031	-92.440651
12.451172	-90.365074
12.695312	-92.537674
12.939453	-93.801315
13.183594	-93.634140
13.427734	-91.237923
13.671875	-89.010254
13.916016	-91.219345
14.160156	-94.440155
14.404297	-92.016121
14.648438	-94.707687
14.892578	-94.139526
15.136719	-94.398827
15.380859	-93.748337
15.625000	-95.089188
15.869141	-91.384552
16.113281	-92.367241
16.357422	-93.934387
16.601562	-89.681961
16.845703	-89.214119
17.089844	-91.456444
17.333984	-89.507347
17.578125	-96.129822
17.822266	-95.988686
18.066406	-90.319954
18.310547	-90.515167
18.554688	-91.236465
18.798828	-90.024338
19.042969	-87.579605
19.287109	-89.557266
19.531250	-86.795883
19.775391	-90.608200
20.019531	-90.551674
20.263672	-88.807884
20.507812	-89.953865
20.751953	-87.584862
20.996094	-93.333664
21.240234	-92.206169
21.484375	-88.887779
21.728516	-89.950951
21.972656	-85.811218
22.216797	-85.595215
22.460938	-85.143372
22.705078	-85.938148
22.949219	-86.151329
23.193359	-83.769470
23.437500	-84.916595
23.681641	-85.646446
23.925781	-83.077354
24.169922	-87.058899
24.414062	-90.530159
24.658203	-85.430946
24.902344	-85.900513
25.146484	-84.700531
25.390625	-85.144135
25.634766	-86.027817
25.878906	-84.170120
26.123047	-89.591103
26.367188	-81.973312
26.611328	-83.008636
26.855469	-83.989555
27.099609	-83.297951
27.343750	-83.650368
27.587891	-88.574745
27.832031	-87.253647
28.076172	-85.828659
28.320312	-84.938942
28.564453	-90.753258
28.808594	-90.198196
29.052734	-88.306633
29.296875	-86.249985
29.541016	-83.096779
29.785156	-83.692284
30.029297	-87.534492
30.273438	-85.188469
30.517578	-86.743332
30.761719	-85.045830
31.005859	-86.652466
31.250000	-84.992371
31.494141	-85.813461
31.738281	-85.765190
31.982422	-90.449974
32.226562	-81.381409
32.470703	-87.729660
32.714844	-82.616859
32.958984	-82.486626
33.203125	-88.775833
33.447266	-85.379044
33.691406	-84.928169
33.935547	-90.587471
34.179688	-86.648834
34.423828	-85.194328
34.667969	-85.145523
34.912109	-88.254181
35.156250	-81.001846
35.400391	-82.918205
35.644531	-85.059837
35.888672	-82.148285
36.132812	-82.127304
36.376953	-80.007942
36.621094	-85.197357
36.865234	-84.947113
37.109375	-83.725937
37.353516	-84.126495
37.597656	-84.175095
37.841797	-84.505585
38.085938	-84.821739
38.330078	-86.722664
38.574219	-85.263359
38.818359	-82.112862
39.062500	-86.741615
39.306641	-86.086853
39.550781	-87.136047
39.794922	-83.990105
40.039062	-79.900597
40.283203	-86.329178
40.527344	-87.216858
40.771484	-84.496925
41.015625	-85.607048
41.259766	-82.691544
41.503906	-82.871323
41.748047	-79.191444
41.992188	-83.131729
42.236328	-77.467285
42.480469	-81.334198
42.724609	-80.746048
42.968750	-81.278969
43.212891	-83.668121
43.457031	-83.511299
43.701172	-81.462646
43.945312	-81.842987
44.189453	-81.152420
44.433594	-76.417175
44.677734	-78.816429
44.921875	-81.443153
45.166016	-83.427193
45.410156	-84.341911
45.654297	-81.945374
45.898438	-81.600113
46.142578	-92.307129
46.386719	-83.821182
46.630859	-80.383530
46.875000	-84.302719
47.119141	-79.400467
47.363281	-80.126167
47.607422	-81.871796
47.851562	-84.042290
48.095703	-85.023003
48.339844	-81.866219
48.583984	-84.893227
48.828125	-81.849503
49.072266	-81.419380
49.316406	-80.465019
49.560547	-80.516479
49.804688	-85.104362
50.048828	-79.912979
50.292969	-77.750290
50.537109	-81.092987
50.781250	-72.353127
51.025391	-77.825035
51.269531	-78.165451
51.513672	-80.696953
51.757812	-80.626610
52.001953	-80.315880
52.246094	-77.792946
52.490234	-77.472107
52.734375	-78.975792
52.978516	-75.801849
53.222656	-70.037376
53.466797	-77.093445
53.710938	-78.018867
53.955078	-75.539856
54.199219	-79.274384
54.443359	-79.183815
54.687500	-83.217087
54.931641	-78.461075
55.175781	-78.000481
55.419922	-75.642967
55.664062	-75.377144
55.908203	-74.368332
56.152344	-83.391922
56.396484	-75.492126
56.640625	-73.412178
56.884766	-73.634026
57.128906	-73.083359
57.373047	-80.009781
57.617188	-77.643242
57.861328	-77.513176
58.105469	-73.642479
58.349609	-72.358093
58.593750	-72.497292
58.837891	-75.511955
59.082031	-73.351082
59.326172	-76.364479
59.570312	-77.585304
59.814453	-76.592674
60.058594	-77.393608
60.302734	-76.857765
60.546875	-77.645355
60.791016	-79.496490
61.035156	-79.447937
61.279297	-77.768066
61.523438	-76.111908
61.767578	-76.569801
62.011719	-78.463547
62.255859	-75.639511
62.500000	-77.020218
62.744141	-74.900414
62.988281	-78.244499
63.232422	-79.396767
63.476562	-76.048843
63.720703	-74.779869
63.964844	-77.219490
64.208984	-81.358269
64.453125	-78.832382
64.697266	-80.212730
64.941406	-80.621368
65.185547	-81.788231
65.429688	-81.984665
65.673828	-82.683701
65.917969	-81.190193
66.162109	-82.189209
66.406250	-84.969421
66.650391	-82.028770
66.894531	-83.558517
67.138672	-81.267288
67.382812	-80.486443
67.626953	-81.931511
67.871094	-82.485672
68.115234	-80.903160
68.359375	-79.673515
68.603516	-79.456947
68.847656	-79.757996
69.091797	-78.164101
69.335938	-79.046692
69.580078	-83.747284
69.824219	-79.550491
70.068359	-78.836517
70.312500	-79.521545
70.556641	-76.571228
70.800781	-77.012466
71.044922	-84.398849
71.289062	-82.353394
71.533203	-81.885262
71.777344	-81.300499
72.021484	-79.922409
72.265625	-79.348358
72.509766	-79.045372
72.753906	-80.008904
72.998047	-76.800453
73.242188	-77.750023
73.486328	-75.276619
73.730469	-78.831009
73.974609	-77.865822
74.218750	-79.093872
74.462891	-81.131409
74.707031	-79.875351
74.951172	-81.235359
75.195312	-79.642723
75.439453	-78.225090
75.683594	-74.947083
75.927734	-78.672379
76.171875	-76.384193
76.416016	-83.344055
76.660156	-76.080589
76.904297	-81.398903
77.148438	-83.110382
77.392578	-83.511055
77.636719	-81.288116
77.880859	-78.785965
78.125000	-78.353821
78.369141	-79.163597
78.613281	-78.746704
78.857422	-82.432663
79.101562	-82.825798
79.345703	-85.588913
79.589844	-81.584274
79.833984	-81.734421
80.078125	-81.074974
80.322266	-78.359657
80.566406	-82.161224
80.810547	-83.054657
81.054688	-82.085747
81.298828	-81.051102
81.542969	-83.102257
81.787109	-83.561989
82.031250	-84.858398
82.275391	-80.555550
82.519531	-81.260208
82.763672	-78.823051
83.007812	-79.643082
83.251953	-79.724068
83.496094	-76.725807
83.740234	-81.593491
83.984375	-80.201347
84.228516	-80.566719
84.472656	-77.705231
84.716797	-78.148949
84.960938	-78.952560
85.205078	-74.488716
85.449219	-81.522652
85.693359	-78.723869
85.937500	-78.690186
86.181641	-77.611221
86.425781	-77.999664
86.669922	-75.356720
86.914062	-76.971786
87.158203	-76.920746
87.402344	-75.226730
87.646484	-79.089287
87.890625	-76.766251
88.134766	-80.786270
88.378906	-79.666733
88.623047	-84.161621
88.867188	-78.372063
89.111328	-79.042480
89.355469	-78.798843
89.599609	-77.265335
89.843750	-81.821167
90.087891	-81.084526
90.332031	-78.641426
90.576172	-79.894119
90.820312	-73.319855
91.064453	-74.900932
91.308594	-77.817818
91.552734	-78.741890
91.796875	-78.194641
92.041016	-79.076645
92.285156	-79.198341
92.529297	-81.795135
92.773438	-82.946892
93.017578	-80.901489
93.261719	-79.295143
93.505859	-81.101692
93.750000	-80.074623
93.994141	-83.643021
94.238281	-81.469963
94.482422	-80.373711
94.726562	-82.145325
94.970703	-84.330353
95.214844	-80.900230
95.458984	-81.830414
95.703125	-83.949684
95.947266	-80.054283
96.191406	-80.558502
96.435547	-82.289604
96.679688	-87.215622
96.923828	-83.566841
97.167969	-83.774178
97.412109	-84.283913
97.656250	-83.854683
97.900391	-83.231064
98.144531	-78.644806
98.388672	-80.962669
98.632812	-84.633537
98.876953	-85.873543
99.121094	-80.707207
99.365234	-83.621597
99.609375	-85.380219
99.853516	-84.975845
100.097656	-86.580429
100.341797	-85.552917
100.585938	-86.923874
100.830078	-82.843376
101.074219	-84.769348
101.318359	-82.618698
101.562500	-79.289810
101.806641	-80.070694
102.050781	-79.165672
102.294922	-83.449570
102.539062	-81.770660
102.783203	-76.823418
103.027344	-77.281975
103.271484	-81.282722
103.515625	-78.870354
103.759766	-76.895714
104.003906	-83.495827
104.248047	-79.834076
104.492188	-78.958206
104.736328	-77.840248
104.980469	-79.017159
105.224609	-82.618118
105.468750	-83.701645
105.712891	-86.672195
105.957031	-81.075562
106.201172	-81.578102
106.445312	-77.858574
106.689453	-80.407791
106.933594	-83.188927
107.177734	-79.356049
107.421875	-86.954117
107.666016	-82.444374
107.910156	-79.873978
108.154297	-84.906822
108.398438	-83.433678
108.642578	-81.825958
108.886719	-86.440559
109.130859	-81.749420
109.375000	-84.181503
109.619141	-80.424873
109.863281	-84.913651
110.107422	-81.430054
110.351562	-84.770508
110.595703	-80.290268
110.839844	-85.514656
111.083984	-81.197479
111.328125	-82.762741
111.572266	-86.065399
111.816406	-83.507896
112.060547	-79.480026
112.304688	-84.357346
112.548828	-85.518684
112.792969	-81.400146
113.037109	-78.854500
113.281250	-82.270447
113.525391	-81.073654
113.769531	-78.916435
114.013672	-74.606079
114.257812	-76.108612
114.501953	-77.314812
114.746094	-82.890228
114.990234	-79.894333
115.234375	-79.071861
115.478516	-81.333534
115.722656	-84.162460
115.966797	-81.697525
116.210938	-82.148918
116.455078	-81.337608
116.699219	-80.038086
116.943359	-81.398384
117.187500	-83.987091
117.431641	-81.709732
117.675781	-84.301758
117.919922	-83.890053
118.164062	-83.600922
118.408203	-81.504990
118.652344	-80.099922
118.896484	-81.336868
119.140625	-82.523674
119.384766	-82.547729
119.628906	-86.370522
119.873047	-81.334984
120.117188	-81.505486
120.361328	-89.379845
120.605469	-83.925789
120.849609	-86.286507
121.093750	-82.803413
121.337891	-81.619949
121.582031	-84.041924
121.826172	-79.577095
122.070312	-80.507843
122.314453	-83.294579
122.558594	-81.360191
122.802734	-82.978241
123.046875	-80.414551
123.291016	-82.329994
123.535156	-83.757713
123.779297	-84.193649
124.023438	-80.553940
124.267578	-81.917641
124.511719	-83.125053
124.755859	-86.008369
125.000000	-82.447189
