Frequency (Hz)	Level (dB)
0.488281	-50.529644
0.976562	-51.091209
1.464844	-46.435989
1.953125	-48.159935
2.441406	-49.476547
2.929688	-51.386837
3.417969	-52.305420
3.906250	-51.022453
4.394531	-52.216496
4.882812	-49.219353
5.371094	-49.517048
5.859375	-51.580238
6.347656	-49.667637
6.835938	-51.107914
7.324219	-51.251442
7.812500	-50.934635
8.300781	-50.566101
8.789062	-48.964275
9.277344	-50.808338
9.765625	-50.399509
10.253906	-51.981953
10.742188	-49.858025
11.230469	-51.297146
11.718750	-49.665718
12.207031	-50.872623
12.695312	-50.819244
13.183594	-51.985271
13.671875	-48.676292
14.160156	-50.380840
14.648438	-51.673702
15.136719	-50.986641
15.625000	-51.417217
16.113281	-48.297569
16.601562	-48.284721
17.089844	-49.101929
17.578125	-48.984344
18.066406	-52.632309
18.554688	-49.007507
19.042969	-48.832630
19.531250	-48.012844
20.019531	-52.981869
20.507812	-49.303120
20.996094	-49.070786
21.484375	-52.187119
21.972656	-45.964924
22.460938	-46.804871
22.949219	-45.977810
23.437500	-51.423798
23.925781	-54.574078
24.414062	-51.849022
24.902344	-50.455540
25.390625	-49.339790
25.878906	-47.017479
26.367188	-48.902496
26.855469	-48.489864
27.343750	-50.467384
27.832031	-50.611267
28.320312	-51.297390
28.808594	-49.387062
29.296875	-52.166908
29.785156	-51.361713
30.273438	-47.767056
30.761719	-50.565037
31.250000	-50.047436
31.738281	-51.305382
32.226562	-51.022991
32.714844	-52.424873
33.203125	-48.802597
33.691406	-49.682682
34.179688	-50.082966
34.667969	-51.731018
35.156250	-53.238636
35.644531	-56.405991
36.132812	-48.385406
36.621094	-50.543945
37.109375	-51.493809
37.597656	-49.094666
38.085938	-57.409489
38.574219	-48.623165
39.062500	-52.078457
39.550781	-50.525715
40.039062	-51.544151
40.527344	-51.934139
41.015625	-51.670372
41.503906	-51.963985
41.992188	-50.818325
42.480469	-48.170513
42.968750	-50.574718
43.457031	-52.778122
43.945312	-51.585243
44.433594	-52.642307
44.921875	-45.972916
45.410156	-49.156841
45.898438	-48.828606
46.386719	-50.088226
46.875000	-47.081264
47.363281	-50.274971
47.851562	-51.100903
48.339844	-48.330524
48.828125	-51.813225
49.316406	-54.052570
49.804688	-50.422955
50.292969	-49.684196
50.781250	-50.027710
51.269531	-51.063484
