Frequency (Hz)	Level (dB)
0.244141	-53.195118
0.488281	-52.135281
0.732422	-54.069839
0.976562	-55.378922
1.220703	-51.922668
1.464844	-47.808453
1.708984	-51.070660
1.953125	-50.622387
2.197266	-53.494156
2.441406	-52.926701
2.685547	-55.115635
2.929688	-55.820877
3.173828	-53.265068
3.417969	-59.369835
3.662109	-52.934723
3.906250	-53.377636
4.150391	-58.089550
4.394531	-55.796803
4.638672	-55.380096
4.882812	-51.061848
5.126953	-51.182167
5.371094	-50.487404
5.615234	-54.623352
5.859375	-54.697372
6.103516	-56.609161
6.347656	-51.179974
6.591797	-52.324268
6.835938	-53.818188
7.080078	-62.983025
7.324219	-56.143402
7.568359	-48.713394
7.812500	-53.385715
8.056641	-59.435108
8.300781	-51.692589
8.544922	-55.140377
8.789062	-51.865986
9.033203	-52.823936
9.277344	-52.711494
9.521484	-54.320683
9.765625	-52.795383
10.009766	-53.487892
10.253906	-56.363693
10.498047	-57.662403
10.742188	-53.610352
10.986328	-52.097237
11.230469	-56.796837
11.474609	-57.286655
11.718750	-51.802727
11.962891	-59.390182
12.207031	-52.079895
12.451172	-54.309116
12.695312	-55.705940
12.939453	-54.122837
13.183594	-58.021046
13.427734	-58.666218
13.671875	-50.118660
13.916016	-51.131710
14.160156	-55.120266
14.404297	-52.938263
14.648438	-58.065708
14.892578	-51.113621
15.136719	-56.308723
15.380859	-55.518196
15.625000	-57.655457
15.869141	-53.312145
16.113281	-49.109436
16.357422	-54.852680
16.601562	-50.091133
16.845703	-51.934895
17.089844	-52.897091
17.333984	-51.768970
17.578125	-52.322983
17.822266	-57.999836
18.066406	-55.160797
18.310547	-50.649513
18.554688	-54.446972
18.798828	-54.831459
19.042969	-52.773067
19.287109	-48.565266
19.531250	-51.498280
19.775391	-54.785892
20.019531	-57.584740
20.263672	-55.343281
20.507812	-55.251377
20.751953	-48.396049
20.996094	-50.435802
21.240234	-56.335354
21.484375	-54.521839
21.728516	-48.681103
21.972656	-51.633678
22.216797	-48.331272
22.460938	-54.972965
22.705078	-50.652790
22.949219	-47.596756
23.193359	-52.242977
23.437500	-55.609383
23.681641	-52.327972
23.925781	-62.093346
24.169922	-55.909412
24.414062	-53.182278
24.658203	-54.902634
24.902344	-55.435268
25.146484	-52.770393
25.390625	-55.254444
25.634766	-47.779312
25.878906	-48.975372
26.123047	-51.134834
26.367188	-55.130947
26.611328	-53.312714
26.855469	-52.913013
27.099609	-52.865604
27.343750	-57.363476
27.587891	-49.887112
27.832031	-54.228127
28.076172	-56.964458
28.320312	-54.847015
28.564453	-53.798092
28.808594	-50.202209
29.052734	-55.965672
29.296875	-53.687241
29.541016	-54.858467
29.785156	-52.314381
30.029297	-54.015945
30.273438	-48.456738
30.517578	-54.949902
30.761719	-53.611950
31.005859	-50.735439
31.250000	-56.081551
31.494141	-57.728397
31.738281	-55.229763
31.982422	-54.231506
32.226562	-53.771191
32.470703	-54.460274
32.714844	-54.345200
32.958984	-54.162781
33.203125	-49.964314
33.447266	-50.033787
33.691406	-53.432865
33.935547	-54.567852
34.179688	-50.778934
34.423828	-59.322311
34.667969	-54.416260
34.912109	-54.935837
35.156250	-55.108738
35.400391	-63.625298
35.644531	-60.873226
35.888672	-54.206741
36.132812	-48.759686
36.376953	-55.609493
36.621094	-54.309372
36.865234	-52.088245
37.109375	-56.113815
37.353516	-55.666576
37.597656	-50.761196
37.841797	-54.891457
38.085938	-63.587936
38.330078	-55.977329
38.574219	-50.397930
38.818359	-57.852356
39.062500	-54.472389
39.306641	-50.749584
39.550781	-56.208584
39.794922	-53.968525
40.039062	-55.797775
40.283203	-57.314449
40.527344	-58.166939
40.771484	-50.932045
41.015625	-55.135834
41.259766	-56.066360
41.503906	-53.901943
41.748047	-54.241646
41.992188	-55.442638
42.236328	-54.062576
42.480469	-49.985405
42.724609	-50.759815
42.968750	-55.699196
43.212891	-57.567020
43.457031	-55.251457
43.701172	-60.125198
43.945312	-58.895481
44.189453	-50.016071
44.433594	-61.869766
44.677734	-54.317219
44.921875	-47.285816
45.166016	-55.667068
45.410156	-51.349941
45.654297	-52.158619
45.898438	-54.302235
46.142578	-55.147888
46.386719	-54.324539
46.630859	-51.765232
46.875000	-51.024410
47.119141	-48.148071
47.363281	-56.717278
47.607422	-56.482594
47.851562	-54.444046
48.095703	-49.548298
48.339844	-51.997448
48.583984	-54.704369
48.828125	-57.143936
49.072266	-55.309448
49.316406	-54.825687
49.560547	-53.015652
49.804688	-52.974487
50.048828	-52.945145
50.292969	-52.183617
50.537109	-53.767902
50.781250	-53.163372
51.025391	-54.354851
51.269531	-56.664375
51.513672	-51.096786
51.757812	-56.432858
52.001953	-61.404785
52.246094	-59.549767
52.490234	-53.080864
52.734375	-55.900002
52.978516	-56.824078
53.222656	-55.034294
53.466797	-57.912334
53.710938	-55.726284
53.955078	-50.240593
54.199219	-54.369778
54.443359	-55.563553
54.687500	-52.709934
54.931641	-48.043484
55.175781	-49.874840
55.419922	-59.179932
55.664062	-55.003788
55.908203	-56.655151
56.152344	-53.455746
56.396484	-52.338932
56.640625	-51.398636
56.884766	-53.151615
57.128906	-53.414234
57.373047	-53.254765
57.617188	-48.877945
57.861328	-48.981289
58.105469	-55.622837
58.349609	-53.265987
58.593750	-56.509884
58.837891	-59.809074
59.082031	-60.265804
59.326172	-56.387352
59.570312	-51.980553
59.814453	-59.283985
60.058594	-62.139606
60.302734	-53.214039
60.546875	-52.817566
60.791016	-54.469418
61.035156	-58.571793
61.279297	-53.133549
61.523438	-51.007568
61.767578	-55.225704
62.011719	-52.758617
62.255859	-55.662598
62.500000	-57.317009
62.744141	-57.128246
62.988281	-52.682106
63.232422	-55.438774
63.476562	-53.033138
63.720703	-57.117439
63.964844	-52.330517
64.208984	-54.064995
64.453125	-55.694435
64.697266	-54.004177
64.941406	-62.695732
65.185547	-56.238003
65.429688	-53.185223
65.673828	-49.706432
65.917969	-52.018181
66.162109	-53.720474
66.406250	-54.224060
66.650391	-50.912827
66.894531	-53.531303
67.138672	-52.321678
67.382812	-53.247303
67.626953	-53.444069
67.871094	-53.531128
68.115234	-58.361416
68.359375	-56.188881
68.603516	-54.296604
68.847656	-53.041752
69.091797	-50.671261
69.335938	-53.472580
69.580078	-56.450626
69.824219	-52.759117
70.068359	-53.482273
70.312500	-57.029541
70.556641	-54.708897
70.800781	-55.321198
71.044922	-59.091278
71.289062	-54.185040
71.533203	-55.324490
71.777344	-57.090012
72.021484	-53.221569
72.265625	-53.155811
72.509766	-54.349548
72.753906	-54.012875
72.998047	-57.430870
73.242188	-52.898045
73.486328	-53.303871
73.730469	-55.373795
73.974609	-51.269192
74.218750	-56.960728
74.462891	-51.813381
74.707031	-52.113708
74.951172	-51.703411
75.195312	-48.079311
75.439453	-50.158356
75.683594	-54.664635
75.927734	-52.099789
76.171875	-50.986580
76.416016	-59.127422
76.660156	-54.765869
76.904297	-55.458893
77.148438	-57.569317
77.392578	-52.406460
77.636719	-55.465191
77.880859	-50.021126
78.125000	-50.236019
78.369141	-51.839211
78.613281	-59.211617
78.857422	-55.878017
79.101562	-57.204887
79.345703	-53.593369
79.589844	-62.173878
79.833984	-53.891327
80.078125	-55.540691
80.322266	-52.102871
80.566406	-53.538818
80.810547	-53.084976
81.054688	-54.232544
81.298828	-55.156631
81.542969	-56.731407
81.787109	-57.287415
82.031250	-59.659122
82.275391	-54.595451
82.519531	-52.775978
82.763672	-51.363052
83.007812	-53.866543
83.251953	-53.229290
83.496094	-49.485813
83.740234	-51.250748
83.984375	-54.852104
84.228516	-49.842468
84.472656	-54.448483
84.716797	-53.734360
84.960938	-56.560429
85.205078	-50.614113
85.449219	-55.779499
85.693359	-55.146053
85.937500	-51.858814
86.181641	-56.564682
